id_anuncio,id_host,nombre_host,cantidad_anuncios_host,cantidad_total_anuncios_host,barrio,latitud,longitud,tipo_alojamiento,capacidad,precio,noches_minimas,noches_maximas,puntuacion_general,puntuacion_ubicacion,puntuacion_valor,licencia,last_scraped,precio_por_persona,tipo_host,tipo_licencia
21890919,36607755,Room Housing,142,143,"Sant Pere, Santa Caterina i la Ribera",41.39062,2.18642,Private room,1,91.0,32,365,,,,,2025-09-15,91.0,professional,No license
21907198,297885449,ByMonths,20,43,la Nova Esquerra de l'Eixample,41.38482,2.15416,Entire home/apt,5,,32,1125,3.5,4.0,3.0,,2025-09-15,,professional,No license
21909088,5614931,Fisa Rentals,43,45,la Dreta de l'Eixample,41.39133,2.17117,Entire home/apt,5,361.0,1,1125,4.78,4.97,4.69,HUTB-004906,2025-09-15,72.2,professional,Licensed
21909641,159863824,Gala,2,3,la Nova Esquerra de l'Eixample,41.37924,2.15084,Private room,1,36.0,32,730,4.82,4.93,4.64,,2025-09-14,36.0,professional,No license
21926686,1432835,Angel,45,46,la Sagrada Família,41.40055,2.17439,Entire home/apt,3,175.0,3,1125,4.44,4.78,4.37,ESFCTU00000807300017013600000000000000000HUTB-0075983,2025-09-15,58.33,professional,Licensed
21963275,160340826,Lala,1,1,el Poblenou,41.39608,2.20158,Entire home/apt,6,286.0,2,30,4.75,4.81,4.58,HUTB-014007,2025-09-15,47.67,individual,Licensed
21969660,6099660,Marcos,27,27,la Barceloneta,41.37796,2.19016,Entire home/apt,2,133.0,1,1125,4.53,4.85,4.46,ESFCTU00000811900014459000000000000000000HUTB-0131265,2025-09-14,66.5,professional,Licensed
21971059,160410607,Team Jorla S.L.,1,2,Sants,41.37579,2.13189,Entire home/apt,4,201.0,2,60,4.54,4.92,4.54,,2025-09-15,50.25,professional,No license
21993053,142876066,Lucia,2,4,el Camp d'en Grassot i Gràcia Nova,41.40225,2.16886,Entire home/apt,4,250.0,3,31,4.7,4.78,4.48,HUTB-010568,2025-09-15,62.5,professional,Licensed
21993691,142876066,Lucia,2,4,el Camp d'en Grassot i Gràcia Nova,41.40427,2.16686,Entire home/apt,4,200.0,3,31,3.83,5.0,3.67,HUTB-010568,2025-09-15,50.0,professional,Licensed
21995015,437835392,Illacat,29,30,la Sagrada Família,41.40569,2.17549,Entire home/apt,4,194.0,1,365,4.31,4.92,4.34,HUTB-010256,2025-09-15,48.5,professional,Licensed
22003742,60066414,Manuela,1,2,el Carmel,41.41891,2.1521,Private room,1,56.0,1,1125,4.89,4.21,4.63,Exempt,2025-09-14,56.0,professional,Exempt
22005332,6099660,Marcos,27,27,el Barri Gòtic,41.38126,2.17807,Entire home/apt,2,144.0,1,1125,4.25,4.72,4.15,ESFCTU00000811900019255300000000000000000HUTB-0001171,2025-09-15,72.0,professional,Licensed
22005342,6099660,Marcos,27,27,la Barceloneta,41.37763,2.19119,Entire home/apt,2,136.0,1,365,4.3,4.89,4.17,ESFCTU00000811900014459000000000000000000HUTB-0131210,2025-09-14,68.0,professional,Licensed
22005348,6099660,Marcos,27,27,"Sant Pere, Santa Caterina i la Ribera",41.38268,2.182,Entire home/apt,2,151.0,1,1125,4.37,4.81,4.26,ESFCTU00000811900017443600000000000000000HUTB-0012290,2025-09-15,75.5,professional,Licensed
22005351,6099660,Marcos,27,27,"Sant Pere, Santa Caterina i la Ribera",41.38268,2.182,Entire home/apt,2,141.0,1,1125,4.37,4.86,4.35,ESFCTU00000811900017443600000000000000000HUTB-0012306,2025-09-15,70.5,professional,Licensed
22005529,160690738,Juan Jose,5,5,el Raval,41.38176,2.16813,Private room,2,40.0,31,180,4.84,4.98,4.83,Exempt,2025-09-15,20.0,professional,Exempt
22039238,48650523,Cyril,1,1,la Vila de Gràcia,41.39951,2.15574,Entire home/apt,3,56.0,31,120,4.95,4.95,4.75,,2025-09-15,18.67,individual,No license
22094381,26521943,Alice,61,61,Hostafrancs,41.37351,2.14298,Entire home/apt,5,220.0,1,1125,4.56,4.67,4.5,ESHFTU00000806800024609701600000000000000HUTB-0104434,2025-09-14,44.0,professional,Licensed
22101214,147646238,Arturo,9,9,la Sagrada Família,41.40510940551758,2.1757800579071045,Entire home/apt,5,270.0,1,365,4.88,4.97,4.75,ESFCTU00000807300041948800000000000000000HUTB-0010027,2025-09-15,54.0,professional,Licensed
22141782,161704516,VINE Properties,3,5,"Sant Pere, Santa Caterina i la Ribera",41.38414,2.18166,Entire home/apt,6,85.0,32,365,4.8,4.87,4.5,Exempt,2025-09-15,14.17,professional,Exempt
22142518,161712512,Juan Miguel,1,1,Sants,41.373,2.13433,Entire home/apt,5,200.0,4,730,4.77,4.62,4.6,ESFCTU00000806500060905100000000000000000HUBT-0093642,2025-09-15,40.0,individual,Licensed
22144268,159574153,Margarita,1,1,"Vallvidrera, el Tibidabo i les Planes",41.420837,2.11723,Private room,1,47.0,31,93,4.91,4.81,4.75,Exempt,2025-09-14,47.0,individual,Exempt
22154964,161704516,VINE Properties,3,5,"Sant Pere, Santa Caterina i la Ribera",41.38408,2.18172,Entire home/apt,6,80.0,32,365,4.94,4.97,4.71,,2025-09-15,13.33,professional,No license
22155702,161704516,VINE Properties,3,5,"Sant Pere, Santa Caterina i la Ribera",41.38421,2.18168,Entire home/apt,6,90.0,32,365,4.9,4.97,4.79,,2025-09-15,15.0,professional,No license
22156189,7016433,Xavi,1,4,la Vila de Gràcia,41.40682,2.15207,Entire home/apt,4,127.0,31,180,4.0,5.0,3.5,,2025-09-15,31.75,professional,No license
22170061,161945491,Jian Xun,2,3,Sants,41.37481,2.1392,Entire home/apt,8,202.0,2,30,4.77,4.77,4.7,HUTB-047836,2025-09-15,25.25,professional,Licensed
22196835,161380107,Francesc,13,39,la Barceloneta,41.38033,2.18967,Entire home/apt,2,57.0,31,1125,4.85,5.0,4.69,Exempt,2025-09-14,28.5,professional,Exempt
22219831,161380107,Francesc,13,39,la Sagrada Família,41.40243,2.17077,Entire home/apt,5,196.0,2,1125,4.52,4.81,4.36,ESFCTU00000807300023784600000000000000000HUTB-0019217,2025-09-15,39.2,professional,Licensed
22234830,161380107,Francesc,13,39,la Sagrada Família,41.40183,2.17262,Entire home/apt,5,196.0,2,1125,4.6,4.88,4.58,ESFCTU00000807300023784600000000000000000HUTB-0019194,2025-09-15,39.2,professional,Licensed
22235245,161380107,Francesc,13,39,la Sagrada Família,41.4039,2.17227,Entire home/apt,5,170.0,2,1125,4.47,4.94,4.47,ESFCTU00000807300023784600000000000000000HUTB-0019187,2025-09-15,34.0,professional,Licensed
22235396,161380107,Francesc,13,39,el Camp d'en Grassot i Gràcia Nova,41.40368,2.17099,Entire home/apt,5,196.0,2,1125,4.4,4.85,4.33,ESFCTU00000807300023784600000000000000000HUTB-0019170,2025-09-15,39.2,professional,Licensed
22235502,161380107,Francesc,13,39,el Camp d'en Grassot i Gràcia Nova,41.40405,2.17128,Entire home/apt,5,196.0,3,1125,4.24,4.79,4.2,ESFCTU00000807300023784600000000000000000HUTB-0019163,2025-09-15,39.2,professional,Licensed
22235675,161380107,Francesc,13,39,la Sagrada Família,41.40389,2.17211,Entire home/apt,5,196.0,2,1125,4.48,4.85,4.44,ESFCTU00000807300023784600000000000000000HUTB-0019156,2025-09-15,39.2,professional,Licensed
22235775,161380107,Francesc,13,39,el Camp d'en Grassot i Gràcia Nova,41.40362,2.17078,Entire home/apt,5,196.0,3,1125,4.23,4.97,4.1,ESFCTU00000807300023784600000000000000000HUTB-0019231,2025-09-15,39.2,professional,Licensed
22235897,161380107,Francesc,13,39,la Sagrada Família,41.40189,2.172,Entire home/apt,5,196.0,2,1125,4.55,4.89,4.48,ESFCTU00000807300023784600000000000000000HUTB-0019224,2025-09-15,39.2,professional,Licensed
22236051,161380107,Francesc,13,39,la Sagrada Família,41.40403,2.17283,Entire home/apt,3,185.0,2,1125,4.45,4.9,4.38,ESFCTU00000807300023784600000000000000000HUTB-0019149,2025-09-15,61.67,professional,Licensed
22236190,161380107,Francesc,13,39,la Sagrada Família,41.40324,2.17272,Entire home/apt,4,57.0,31,1125,3.57,4.5,3.5,Exempt,2025-09-15,14.25,professional,Exempt
22261491,27273342,Silvia,2,2,"Sant Pere, Santa Caterina i la Ribera",41.38232,2.18173,Entire home/apt,4,55.0,32,335,5.0,4.95,4.9,Exempt,2025-09-15,13.75,professional,Exempt
22275467,162769619,Yao,2,3,el Clot,41.40874,2.19275,Private room,1,53.0,2,730,4.59,4.68,4.59,,2025-09-14,53.0,professional,No license
22287621,1269810,Alejandro,1,8,el Raval,41.38416,2.16744,Entire home/apt,4,150.0,32,730,,,,,2025-09-15,37.5,professional,No license
22299669,163001960,Juan Yaotsin,2,5,Provençals del Poblenou,41.41251123652327,2.201547439757661,Private room,1,50.0,2,1124,4.69,4.61,4.57,,2025-09-15,50.0,professional,No license
